id,question,answer,answer_value,answer_unit,ref_id,ref_url,supporting_materials,explanation,Cohort,Corrected,Quote,Table,Figure,Math,is_NA,CrossPaper,Reconcile
q027,"True or False: among multi-purpose language models, the one with the largest parameter count emits the most carbon per 1,000 inferences.",False,0,is_blank,['luccioni2024'],['https://arxiv.org/pdf/2311.16863'],Table 3,"Evidence: table. Flan-T5-xxl is the largest multi-purpose model tested at 11B parameters and emits 11.48 g CO2eq, less than the smaller BLOOMz-7B at 14.46 g. Parameter count therefore does not determine ranking across architectures.",2026,0,0,1,0,0,0,0,0
q028,"For extractive question answering, what are the emissions in grams of CO2eq per 1,000 inferences of the most efficient models trained for that single task?",0.3 g CO2eq,0.3,g CO2eq,['luccioni2024'],https://arxiv.org/pdf/2311.16863,"Quote: ""the most efficient task-specific models emit 0.3g of CO2eq per 1,000 inferences for extractive question answering on a dataset like SciQ, multi-purpose models emit 10g for the same task"".","Evidence: quote. States the task-specific end of the task-specific vs multi-purpose comparison for extractive QA on SciQ. Distinct from q305, which is text classification and a named BERT model.",2026,0,1,0,0,0,0,0,0
q029,"Using the reported per-kWh water consumed generating U.S. electricity and the water-use effectiveness Amazon reports for AWS data centers, how many times more water does the electricity consume off-site than the data center uses on-site?",About 17 times (3.1 vs 0.18 L/kWh),"[16.9,17.6]",multiplier,"['li2025b', 'amazon2023']","['https://arxiv.org/pdf/2304.03271', 'https://sustainability.aboutamazon.com/2023-amazon-sustainability-report.pdf']",li2025b: about 3.1 L of water consumed per kWh of U.S. electricity generated. amazon2023: AWS reports 0.18 L/kWh WUE.,Evidence: combination. 3.1 / 0.18 = 17.2; +-2% bracket. Ratio companion to the existing train-split sum question; both sit in train so no scored-split overlap.,2026,0,0,0,0,1,0,1,0
q031,"By what factor could the per-household health burden from AI-related air pollutants in the most affected, economically-disadvantaged communities exceed that in less-impacted communities?",200x,200,multiplier,['han2024'],['https://arxiv.org/pdf/2412.06288'],"Further, the public health costs unevenly impact economically-disadvantaged communities, where the per-household health burden could be 200x more than that in less-impacted communities.","Evidence: quote. The paper states 'the public health costs unevenly impact economically-disadvantaged communities, where the per-household health burden could be 200x more than that in less-impacted communities.'",2025,1,1,0,0,0,0,0,0
q032,How many medium-length GPT-3 completions (prompt= 800 words; response 150-300 words) could be produced with the water required to fill a single 500 mL bottle?,10 to 50 responses,"[10,50]",responses,['li2025b'],['https://arxiv.org/pdf/2304.03271'],"""Additionally, GPT-3 needs to -drink- (i.e., consume) a 500ml bottle of water for roughly 10 - 50 medium-length responses, depending on when and where it is deployed."", ""More specifically, we consider a medium-sized request, each with approximately=800 words of input and 150 - 300 words of output [30]. ""","Evidence: quote. The paper states GPT-3 ""needs to 'drink' (i.e., consume) a 500ml bottle of water for roughly 10 - 50 medium-length responses,"" so 10 to 50 completions could be produced with one 500 mL bottle of water.",2025,1,1,0,0,0,0,0,0
q037,One community in a new Illinois water commission is planning a data center that could use how many million gallons of water per day?,Up to 3 million gallons per day,3,million gallons per day,['agl2025'],https://greatlakes.org/wp-content/uploads/2025/08/AGL_WaterUse_Report_Aug2025_Final.pdf,"Quote: ""One of the five initial communities, Minooka, is planning to build a data center that could use up to 3 million gallons of water per day.""",Evidence: quote. A single planned facility claiming roughly 3% of a guaranteed 105 MGD regional supply.,2026,0,1,0,0,0,0,0,0
q044,"How much water did U.S. data centers directly consume in 2014, in billions of liters?",21.2 billion liters,21.2,billion liters,['shehabi2024'],['https://eta-publications.lbl.gov/sites/default/files/2024-12/lbnl-2024-united-states-data-center-energy-usage-report_1.pdf'],"""In 2014, data centers consumed 21.2 billion liters of water, with 64% in internal data centers.""",Evidence: quote. Direct water consumption in 2014 was 21.2 billion liters.,2026,0,1,0,0,0,0,0,0
q045,"How much water can a hyperscale data center use per year, in millions of gallons?",More than 365 million gallons a year,365,million gallons per year,['agl2025'],['https://greatlakes.org/wp-content/uploads/2025/08/AGL_WaterUse_Report_Aug2025_Final.pdf'],"""Hyperscale data centers, the likes of which can support generative artificial intelligence, can use more than 365 million gallons of water a year""",Evidence: quote. The Alliance for the Great Lakes puts hyperscale data center water use at more than 365 million gallons per year.,2026,0,1,0,0,0,0,0,0
q046,How many billion gallons of water did U.S. data centers directly consume in 2023?,About 17.4 billion gallons,17.4,billion gallons,['agl2025'],https://greatlakes.org/wp-content/uploads/2025/08/AGL_WaterUse_Report_Aug2025_Final.pdf,"Quote: ""in 2023, U.S. data centers directly consumed about 17.4 billion gallons of water, and the authors expect that number to double by 2028.""","Evidence: quote. National direct consumption, distinct from withdrawal and from the source water used to generate the electricity.",2026,0,1,0,0,0,0,0,0
q052,"What is the average energy consumption, in kWh per 1,000 inferences, at the very top of the range reported across tasks, which is reached by image generation?",2.9 kWh,2.9,kWh,['luccioni2024'],https://arxiv.org/pdf/2311.16863,"Quote: ""multimodal tasks such as image captioning and image generation are on the highest end of the spectrum (0.06-2.9 kWh for 1,000 inferences)"".",Evidence: quote. Upper bound of the multimodal task range.,2026,0,1,0,0,0,0,0,0
q053,The much-repeated comparisons of an AI query's energy against a conventional web search rest on a search-energy baseline taken from a company blog post. In what year was that post published?,2009,2009,year,"['luccioni2025c', 'vanderbauwhede2024']","['https://arxiv.org/pdf/2506.15572', 'https://arxiv.org/abs/2407.16894v2']","Quote: ""with the Google search number taken from a 2009 blog post from Google that stated that 'Queries vary in degree of difficulty, but for the average query [...] this amounts to 0.0003 kWh of energy per search'.""","Evidence: quote. The baseline predates transformer-based search entirely, so the ratio compares a modern system against a sixteen-year-old one.",2026,0,1,0,0,0,0,0,0
q054,"AI-optimized navigation and household robots are given as examples of which rebound category, the one defined by changing how people spend their hours?",Time rebound effects,time rebound effects,is_blank,['luccioni2025a'],['https://arxiv.org/pdf/2501.16548'],"Table 1, Time rebound effects: ""AI-optimized navigation"", ""Robots doing household chores"".",Evidence: table. luccioni2025a Table 1 labels the category 'Time rebound effects' and lists AI-optimized navigation and household robots under it. Gold widened 2026-08-17 to the table's own label; 'time rebound' was my truncation of it.,2026,0,1,1,0,0,0,0,0
q055,"A measurement framework attributes energy separately to the two stages of every inference request, rather than reporting one number per request. What are those two stages?",Prefill and decode,prefill and decode,is_blank,['tokenpowerbench2025'],['https://arxiv.org/pdf/2512.03024v1'],a phase-aligned metrics pipeline that attributes energy to the prefill and decode stages of every request,"Evidence: quote. tokenpowerbench2025 attributes energy 'to the prefill and decode stages of every request'. Gold changed 2026-08-17 from the list form (prefill,decode) to the prose the source uses: a two-item list gold demands a list-shaped answer, which is the wrong container for a phrase anyone would write as 'prefill and decode'.",2026,0,1,0,0,0,0,0,0
q056,"True or False: measuring power at the whole-system level, rather than at the accelerator alone, captures consumption the accelerator-only figure leaves out.",TRUE,1,is_blank,"['mlperfpower2024', 'tokenpowerbench2025']","['https://arxiv.org/pdf/2410.12032v2', 'https://arxiv.org/pdf/2512.03024v1']","mlperfpower2024 on system-level interactions such as data movement between memory hierarchies and communication overheads; tokenpowerbench2025 provides 'a measurement layer that captures GPU-, node-, and system-level power'.",Evidence: quote. TRUE. Widening the measurement boundary is the fix; the error is quoting the narrow number as though it were the whole one.,2026,0,1,0,0,0,0,1,0
q057,True or False: one energy figure per request is complete enough to tell an operator whether long prompts or long generated answers are driving their energy bill.,FALSE,0,is_blank,['tokenpowerbench2025'],['https://arxiv.org/pdf/2512.03024v1'],a phase-aligned metrics pipeline that attributes energy to the prefill and decode stages of every request,Evidence: quote. FALSE. A single per-request number averages two stages with different bottlenecks; separating prefill from decode is what makes the bill actionable.,2026,0,1,0,0,0,0,0,0
q058,"Using a national laboratory report's figures for the direct and the electricity-related indirect water footprint of U.S. data centers, how many times larger is the indirect footprint than the direct one?",About 12.1x,"[11.88,12.36]",multiplier,['shehabi2024'],['https://eta-publications.lbl.gov/sites/default/files/2024-12/lbnl-2024-united-states-data-center-energy-usage-report_1.pdf'],Direct water consumption 66 billion liters in 2023; total indirect water footprint nearly 800 billion liters (shehabi2024).,"Evidence: combination. 800 billion L / 66 billion L = 12.1. Most data center water use is upstream, in electricity generation, rather than on site. Scored as a +-2% bracket around the exact derivation (12.1212) so the contestant's rounding path does not decide the score.",2026,0,0,0,0,1,0,0,0
q061,What was the global average power usage effectiveness (PUE) of AI-dedicated data centers in 2023?,Unable to answer with confidence based on the provided documents.,is_blank,PUE,is_blank,is_blank,is_blank,"Evidence: none in corpus. No cited paper reports a global average PUE for AI-dedicated data centers in 2023; the papers cite only generic PUE values (e.g., Strubell 2019 uses a 1.58 global average, Jegham 2025 uses provider-specific PUEs like Azure 1.12), not an AI-data-center-specific 2023 average.",2025,0,0,0,0,0,1,0,0
q063,How many hectares of land were occupied by new AI data centers globally in 2022?,Unable to answer with confidence based on the provided documents.,is_blank,hectares,is_blank,is_blank,is_blank,Evidence: none in corpus. No cited paper reports hectares of land occupied by new AI data centers globally in 2022.,2025,0,0,0,0,0,1,0,0
q066,What per-kilowatt-hour rate does the We Energies differential tariff for large data center customers set?,Unable to answer with confidence based on the provided documents.,is_blank,USD per kWh,is_blank,is_blank,is_blank,"Evidence: none in corpus. The Wisconsin Policy Forum reports that We Energies ""has proposed a differential rate for large electricity users like data centers"" but does not give the rate; no other cited document contains the tariff schedule.",2026,0,0,0,0,0,1,0,0
q072,An early estimate of the CO2 emissions of a neural architecture search was later re-measured on the hardware and in the data center where the search actually ran. By what factor was the original estimate too high?,About 88 times too high,88,multiplier,['patterson2021'],['https://arxiv.org/pdf/2104.10350'],"patterson2021, appendix footnote: ""Our estimate of the actual NAS search that So et al. ran at Google after adjusting for the correct datacenter PUE, CO2e/KWh, and hardware is ... 3.2 tCO2e (7096 lbs). This actual emissions value is 88X smaller than the incorrect estimate of the carbon emissions of this search found in Strubell et al.""","Evidence: quote. Patterson et al. (2021) re-ran the accounting for the search Strubell et al. (2019) had estimated, using the PUE, grid carbon intensity and accelerator the search actually used, and report the original as ""88X smaller"" than their measured 3.2 tCO2e. (2026 review: this row previously asked how many SF-NY passenger round-trip flights the search equalled, with a gold of ~237 derived from Strubell's 626,155 lbs and Patterson's 1.2 t per passenger -- combining a number with the paper that refutes it. The very footnote supplying that 1.2 t concludes ""the CO2e equivalent of NAS is ~3 passengers taking a round trip between San Francisco and New York."" Coded as a single-source Quote, not Reconcile: patterson2021 states the factor outright, so reading it alone is enough and the Reconcile invariant does not hold.)",2026,1,1,0,0,0,0,0,0
q073,A 2023 water supply agreement guarantees a group of Illinois communities a maximum of how many million gallons per day?,105 million gallons per day,105,million gallons per day,['agl2025'],https://greatlakes.org/wp-content/uploads/2025/08/AGL_WaterUse_Report_Aug2025_Final.pdf,"Quote: ""Chicago will provide Joliet and five other communities that will compose the Grand Prairie Water Commission a guaranteed maximum of 105 million gallons per day.""",Evidence: quote.,2026,0,1,0,0,0,0,0,0
q082,Consumptively used water is described as effectively lost to what?,The watershed,watershed,is_blank,['agl2025'],https://greatlakes.org/wp-content/uploads/2025/08/AGL_WaterUse_Report_Aug2025_Final.pdf,"Quote: ""Whether that water is consumed to grow and harvest a cucumber, evaporated for cooling a data center, or becomes process mining waste that cannot be reused, consumptively used water is effectively lost to the watershed.""",Evidence: quote. The framing that makes cross-sector comparison legitimate: the loss is the same regardless of who caused it.,2026,0,1,0,0,0,0,0,0
q083,Approximately how many times more electricity is used to train GPT-3 than to fully train a 6.1-billion-parameter language model?,~12.4x,"[12,12.68]",multiplier,"['patterson2021', 'dodge2022']","['https://arxiv.org/pdf/2104.10350', 'https://arxiv.org/pdf/2206.05229']","GPT-3 training energy 1287 MWh (patterson2021, Table 4); full training run of a 6.1B model = 103.5 MWh (dodge2022).",Evidence: combination. 1287 MWh / 103.5 MWh = 12.4. Scored as a +-2% bracket around the exact derivation (12.4348) so the contestant's rounding path does not decide the score.,2026,0,0,1,0,1,0,1,0
q085,Training GPT-3 consumed how many times the energy of training GShard-600B?,"About 54 times (1,287 vs 24 MWh)","[52.5,54.7]",multiplier,['patterson2021'],['https://arxiv.org/pdf/2104.10350'],"patterson2021 Table 4: GPT-3 1,287 MWh; GShard-600B 24 MWh.","Evidence: table. 1,287 / 24 = 53.6; +-2% bracket. Both values verified by eye this cycle.",2026,0,0,1,0,1,0,0,0
q086,True or False: most data centers use roughly comparable amounts of power.,FALSE,0,is_blank,"['wpf2026', 'shehabi2024']","['https://wispolicyforum.org/wp-content/uploads/2026/01/Focus_26_01_DataCenters.pdf', 'https://eta-publications.lbl.gov/sites/default/files/2024-12/lbnl-2024-united-states-data-center-energy-usage-report_1.pdf']","wpf2026: 'the largest hyperscale data centers use up to 1.0 million mWh per year, or 1,000 GWh' -- orders of magnitude beyond typical facilities profiled in shehabi2024.",Evidence: combination. Facility power spans orders of magnitude; 'a data center' is not one size.,2026,0,0,0,0,0,0,1,0
q087,"A nationwide analysis of 2,132 U.S. data centers computed their carbon intensity - CO2e emitted per unit of electricity consumed. By what percentage did it exceed the U.S. average?",48% (548 vs 369 gCO2e per kWh),48,percent,['guidiburden2024'],['https://arxiv.org/pdf/2411.09786'],"guidiburden2024: 'The average carbon intensity of the US data centers in our study (weighted by the energy they consumed) was 548 grams of CO2e per kilowatt hour (kWh), approximately 48% higher than the US national average of 369 gCO2e / kWh.'","Evidence: quote. guidiburden2024 abstract: ""Data centers' carbon intensity - the amount of CO2e emitted per unit of electricity consumed - exceeded the US average by 48%,"" over 2,132 facilities with 56% of their electricity fossil-derived. Stem reworded 2026-08-18 to the paper's own vocabulary: the earlier version editorialised (""dirtier than the grid"") and telegraphed the direction of the answer.",2026,0,1,0,0,0,0,0,0
q088,"In a benchmark that measures energy per 1,000 inferences across ten task types, image generation is the most energy-intensive. How many times the energy of one short query to a proprietary chat model does a single generated image consume?",~6.9x,"[6.783,7.06]",multiplier,"['luccioni2024', 'jegham2025']","['https://arxiv.org/pdf/2311.16863', 'https://arxiv.org/pdf/2505.09598']","Image generation ~2.907 kWh per 1,000 images (luccioni2024); a short query consumes 0.42 Wh (jegham2025).","Evidence: combination. 2.907 kWh per 1,000 images = 2.907 Wh per image; 2.907 / 0.42 Wh = 6.9. +-2% bracket around 6.9214. Question pinned 2026-08-17: the corpus also reports ~1.7 Wh per image elsewhere, so an unqualified question had two defensible numerators.",2026,0,0,0,0,1,0,1,0
q092,"How much water are hyperscale data centers projected to withdraw over the next five years, in billions of gallons?",As much as 150.4 billion gallons,150.4,billion gallons,['agl2025'],['https://greatlakes.org/wp-content/uploads/2025/08/AGL_WaterUse_Report_Aug2025_Final.pdf'],"""Hyperscale data centers are projected to withdraw as much as 150.4 billion gallons of water over the next five years""","Evidence: quote. The projection is up to 150.4 billion gallons over five years, equated to 4.6 million American households.",2026,0,1,0,0,0,0,0,0
q096,"In 2023, what percentage of the data centers' total electricity cost was their public health cost equivalent to, using the average attribution method?",43%,43,percent,['han2024'],['https://arxiv.org/pdf/2412.06288'],Table 1,Evidence: table. Table 1 (public health cost of U.S. data centers in 2023) shows that under the average attribution method the health cost equals 43% of the data centers' total electricity cost ($5.6B health cost vs. $13.0B electricity cost).,2025,0,0,1,0,0,0,0,0
q097,"What was the total public health cost of U.S. data centers in 2023, based on the average attribution method?",$5.6 billion,5600000000,USD,['han2024'],['https://arxiv.org/pdf/2412.06288'],Table 1,Evidence: table. Table 1 (public health cost of U.S. data centers in 2023) reports a total public health cost of $5.6 billion under the average attribution method.,2025,0,0,1,0,0,0,0,0
q101,"Using the most common cooling method, what daily water use range do hyperscale data centers fall in, in millions of gallons per day?",1 to 5 million gallons per day,"(1,5)",million gallons per day,['agl2025'],https://greatlakes.org/wp-content/uploads/2025/08/AGL_WaterUse_Report_Aug2025_Final.pdf,"Quote: ""hyperscale data centers can use between 1 and 5 million gallons of water per day (MGD) when evaporative cooling, currently the most common method, is the method used.""","Evidence: quote. The headline fact that data centers are not interchangeable: a fivefold spread within a single cooling technology, before any comparison across technologies.",2026,0,1,0,0,0,0,0,0
q102,By what factor is U.S. data center direct water consumption expected to change between 2023 and 2028?,"Double, a factor of 2",2,multiplier,['agl2025'],https://greatlakes.org/wp-content/uploads/2025/08/AGL_WaterUse_Report_Aug2025_Final.pdf,"Quote: ""U.S. data centers directly consumed about 17.4 billion gallons of water, and the authors expect that number to double by 2028.""",Evidence: quote. Stated as a doubling.,2026,0,1,0,0,0,0,0,0
q103,"When electricity is generated by hydropower, which water effect is normally counted in a footprint accounting? Answer with a single word.",Evaporation from the reservoir is counted; the withdrawal itself is excluded,evaporation,is_blank,['li2025b'],https://arxiv.org/pdf/2304.03271,"Quote: ""Typically, water withdrawal due to hydropower generation is excluded, but water consumption due to increased water evaporation rates from hydropower generation is included.""","Evidence: quote. Two accounting conventions that change the answer, chosen before any measurement is taken.",2026,1,1,0,0,0,0,0,0
q104,By what factor did Mistral-small's emissions decrease after optimization in the financial sentiment classification task?,1.33,1.33,multiplier,['khan2025'],['https://arxiv.org/pdf/2504.06307'],Table III: Mistral-small - 0.020→0.015 kg CO2,Evidence: combination. Table III reports Mistral-small carbon emissions of 0.020 kg CO2 before optimization and 0.015 kg CO2 after. The multiplier 0.020 / 0.015 = 1.33.,2025,1,0,1,0,1,0,0,0
q105,"Between 2010 and 2014, by what total percentage did U.S. data center energy consumption increase?",About 4 percent,4,percent,['wu2021b'],['https://arxiv.org/pdf/2108.06738'],Sustainability: 'The total energy consumption of the US data centers increased by about 4% from 2010-2014',"Evidence: quote. Wu et al. (2021, Socio-Technological): ""The total energy consumption of the US data centers increased by about 4% from 2010-2014."" (2026 review: the question previously asked for the ""average increase"", which reads as a per-year rate when the source states a total over the period. Retrieval is genuinely hard here -- the wording matches shehabi2024, a report devoted to this exact subject whose series begins in 2014 and which therefore cannot answer it -- but that is the benchmark working, not a defect, and it must not be papered over by quoting the source back in the question.)",2025,1,1,0,0,0,0,0,0
q107,What was the average global data center PUE in 2023?,1.58,1.58,PUE,['ebert2024'],['https://arxiv.org/pdf/2410.06681'],Section 2 Technical Background: 'The average data center PUE in 2023 was 1.58 globally and 1.6 in the EU.',"Evidence: quote. Section 3 (Technical Background) states 'The average data center PUE in 2023 was 1.58 globally and 1.6 in the EU,' giving a global average PUE of 1.58.",2025,0,1,0,0,0,0,0,0
q108,What percentage of a client device's total carbon footprint is accounted for by its manufacturing?,74%,74,percent,['wu2021a'],['https://arxiv.org/pdf/2111.00364'],"""Reducing embodied carbon cost for edge devices is also important, as manufacturing carbon cost accounts for 74% of the total footprint [19] of client devices.""","Evidence: quote. Wu et al. (2021) state 'manufacturing carbon cost accounts for 74% of the total footprint [19] of client devices,' giving 74%.",2025,0,1,0,0,0,0,0,0
q110,How many data center GPUs did NVIDIA ship in the year 2024?,3.7 million,3700000,GPUs,['luccioni2025a'],['https://arxiv.org/pdf/2501.16548'],"While efficiency improvements are being made to the hardware used for training and deploying AI models [9, 82, 89], NVIDIA shipped 3.7 million GPUs in 2024 (more than a million more units than in 2023) due to increased demand, despite these improvements in efficiency [105].","Evidence: quote. The paper states ""NVIDIA shipped 3.7 million GPUs in 2024 (more than a million more units than in 2023) due to increased demand,"" giving 3.7 million.",2025,1,1,0,0,0,0,0,0
q112,How much does an elephant weigh?,Unable to answer with confidence based on the provided documents.,is_blank,lbs,is_blank,is_blank,is_blank,Evidence: none in corpus. Elephant weight is general knowledge unrelated to AI environmental impact and is not reported in any cited paper.,2025,0,0,0,0,0,1,0,0
